52.4.150.19:8080
40.119.236.22:80
20.24.43.214:80
45.137.65.193:8080
195.201.147.247:8080
45.118.134.141:8080
165.232.66.0:8080
91.107.210.232:8080
172.104.250.148:8080
167.71.61.97:8080
91.107.195.12:8080
195.201.37.70:8080
104.248.129.21:8080
88.99.39.205:8080
134.209.245.211:8080
143.42.17.186:8080
138.68.110.227:8080
167.172.171.122:8080
138.201.172.129:8080
134.122.72.66:8080
139.162.148.104:8080
162.55.168.38:8080
139.162.165.209:8080
104.248.43.160:8080
165.22.71.99:8080
195.201.147.247:8080
207.154.216.137:8080
157.90.236.24:8080
104.248.140.190:8080
49.12.4.154:8080
